problem,problemimage,tools,solString,answer,gbd,drawing_image_name,user_id,problem_id,_id,correct_answer,stroke_count,created_at,label
"""Rita en rektangel som är $2$ cm bred och $5$ cm lång. Vad är omkretsen för denna?""",,"{""total"":4,""triangleright"":1,""element"":3}","""5\n2\n5""","[""14cm""]",0.0,2412f880-0ec3-11f0-a5ae-cf0b4b629d2d.jpg,66ba92257764376addc656ba,631b214a32445b0014edc418,67eb889505040ac105463f60,"[""14cm""]",4,2025-04-01 6:32:54,1.0
"""Hur många gånger större är talet som är dubbelt så stort som 54,6 jämfört med det talet som är hälften så stort som 54,6?""",,"{""total"":76,""free"":6,""circle"":1,""rectangle"":1,""element"":68}","""578y785t985yiuhng7y4t78wy3ougo-idbdjbvhdjjh%+hbfekjghbeugbue=iuiehghy""","[""4""]",0.0,6df25000-a02b-11f0-9b9f-93bc6f458e95.jpg,68b6ddc99ef376ef99305b36,65574039d6cc4a38bfea9e25,68df7c93283430c269799ae6,"[""4""]",76,2025-10-03 7:34:44,0.0
"""Barnen ska få en fjärdedel var av ett äpple. Till hur många barn räcker två äpplen?\n\n*Visa hur du löser uppgiften och skriv svar.*""",,"{""total"":31,""element"":12,""circledfraction"":18,""free"":1}","""2\näpllen\n8\nbarn""","[""8""]",0.0,2432be40-2016-11f0-96d8-d5e09633733d.jpg,6401add35971ff001fe3b7e7,637762560d712800137aac7b,680899479f392fb075e7fb72,"[""8""]",31,2025-04-23 7:39:52,1.0
"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{1}{4}} + {\\Large \\frac{2}{4}} =$""",,"{""total"":10,""element"":7,""line"":3}","""1+2=334""","[""[3/4]""]",0.0,e79f9530-8edc-11f0-a95f-6f34a72aa14b.jpg,66c3d7d5e593c070de2e0519,63eb511a8e78a2001308c47e,68c27364523c88da7972dab4,"[""[3/4]""]",10,2025-09-11 6:59:48,1.0
"""Visa hur du löser uppgiften.\n\n${\\Large \\frac{1}{4}} + {\\Large \\frac{2}{4}} =$""",,"{""total"":3,""element"":2,""line"":1}","""""","[""[3/4]""]",0.0,b46fde70-9d20-11f0-acc8-c3cf26f4885c.jpg,63044b1313c31e001fb1bdfb,63eb511a8e78a2001308c47e,68da621823494a0fc2643efd,"[""[3/4]""]",3,2025-09-29 10:40:24,0.0
"""Simone har ett rep som är $660$ cm. Hon ska klippa det i lika långa bitar. \n\nHur lång blir varje bit om hon gör två klipp?""",,"{""total"":9,""element"":8,""line"":1}","""6603\n=220""","[""220""]",0.0,231cca50-8e07-11f0-93c3-6d27d23941f6.jpg,66be7f12199ed70e52f5c152,632c25893caf5e00143b0f6b,68c10cbf523c88da7948c201,"[""220cm""]",9,2025-09-10 5:29:35,1.0
"""En triangel har en area som är 1 kvadratmeter och en bas som är 0,25 meter. Vad är triangelns höjd?""",,"{""total"":24,""trianglesymmetricvertical"":1,""free"":14,""element"":8,""rectangle"":1}","""1\nx=2/0,25""","[""8""]",0.0,08598ff0-1d28-11f0-b869-d10370f94813.jpg,652cdb34912d36363492623b,65607ac4521142e51e574c95,6803aeceec33bb47d45c0c3d,"[""8m""]",24,2025-04-19 14:10:23,1.0
"""Visa hur du löser uppgiften.\n\n$164-46=$""",,"{""total"":13,""element"":10,""free"":1,""line"":2}","""1164-46=118""","[""118""]",0.0,94e227f0-9471-11f0-8836-9d7b4c6a2fc6.jpg,66bd2f17e9b798aafc69ae57,64d32982dce3104a2ad792f3,68cbd04f51dbe21660c41524,"[""118""]",13,2025-09-18 9:26:40,1.0
"""Anna och hennes två syskon får 936 kr som de ska dela lika på. Hur mycket pengar får Anna?""",images/14581bb4-4b60-47c7-b3a8-52e2a5e25df3.png,"{""total"":10,""element"":8,""line"":2}","""9363\n=312""","[""312""]",0.0,22bf9b40-9aa1-11f0-b195-c96c11591149.jpg,68ad9512d8c83471353da1c8,654a0e94bd043ff860bf614e,68d63113e9ef8b7a2bd46854,"[""312kr""]",10,2025-09-26 6:22:11,1.0
"""Kim löser 72 matteproblem under 9 dagar. Han löser samma antal uppgifter varje dag. \n\nHur många problem löser Kim varje dag?""",images/efa12679-6a86-4314-92f9-0dacbd46776d.png,"{""total"":7,""element"":2,""line"":1,""free"":4}","""q=8""","[""8""]",0.0,be7030b0-9d0b-11f0-a3a6-0d49945bebfd.jpg,62f35fbc6376c9001fa1ed78,655743a2df39eeec176c9ec4,68da3eed0daed6849a63db44,"[""8""]",7,2025-09-29 8:10:22,1.0
